id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,references,order,family,scientificName,Duplicated?,Native Status,C-value,order,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,cultivarEpithet,tradeName,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,Timeframe,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,locationRemarks,recordSecurity,securityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID
679387,Harvard University,NEBC,,PreservedSpecimen,e8949c7e-06f0-4641-965d-e2be1aa17e14,barcode-00566584,,Plantae|Charophyta|Streptophytina|Equisetopsida|Magnoliidae|Asterales|Asteraceae|Ambrosia,Plantae,Charophyta,Equisetopsida,https://neherbaria.org/portal/collections/individual/index.php?occid=679387,Asterales,Asteraceae,Ambrosia trifida,,Native,2,1845,816305,L.,Ambrosia,,trifida,,,,,Species,,,,,,,,G. Thurber,,,1845-08-02,Before,Pre,8,2,214,,Aug 2. 1845,,,,,,,,,,,"""{\\""huh_taxonomic_group\\"": \\""Vascular\\"", \\""huh_project_id\\"": 3, \\""huh_project_name\\"": \\""New England Vascular Plants TCN\\""}""",,,,,,,,,,,Sheet,,North America,,,,United States of America,US,Massachusetts,Hampden County,Springfield,Springfield,,0,,,,,,,,,,,,,,,,,,in collection,en,,11/11/14 5:47,e8949c7e-06f0-4641-965d-e2be1aa17e14,32,2849bc72-d5df-450d-bca8-f044c5581ebf
789574,Harvard University,NEBC,,PreservedSpecimen,1026a84f-e612-4897-aea8-dcb03cdaf8b8,barcode-00728584,,Plantae|Charophyta|Streptophytina|Equisetopsida|Magnoliidae|Asparagales|Orchidaceae|Liparis,Plantae,Charophyta,Equisetopsida,https://neherbaria.org/portal/collections/individual/index.php?occid=789574,Asparagales,Orchidaceae,Liparis liliifolia,,Native,7,1876,826092,(L.) Rich. ex Ker Gawl.,Liparis,,liliifolia,,,,,Species,,,,,,,,M. L. Owen,,,,,Pre,0,0,,,,,,,,,,,,"field values redacted: eventDate, verbatimEventDate, locality",,"""{\\""huh_taxonomic_group\\"": \\""Vascular\\"", \\""huh_project_id\\"": 3, \\""huh_project_name\\"": \\""New England Vascular Plants TCN\\""}""",,,,,,,,,,,Sheet,,North America,,,,United States of America,US,Massachusetts,Hampden County,Springfield,,,1,,,,,,,,,,,,,,,,,,in collection,en,,8/7/15 10:16,1026a84f-e612-4897-aea8-dcb03cdaf8b8,32,1ace9db3-674e-440a-8efc-65f34afe65c6
1038602,Harvard University,NEBC,,PreservedSpecimen,c2962832-8161-11e5-b5e0-001ec9fd629b,barcode-00866795,,Plantae|Charophyta|Streptophytina|Equisetopsida|Magnoliidae|Ranunculales|Ranunculaceae|Clematis,Plantae,Charophyta,Equisetopsida,https://neherbaria.org/portal/collections/individual/index.php?occid=1038602,Ranunculales,Ranunculaceae,Clematis occidentalis,,Native,8,1877,820093,(Hornem.) DC.,Clematis,,occidentalis,,,,,Species,,,,,,,,W. G. Farlow,,,1877-05-15,,Pre,5,15,135,,May 15th 1877,,,,,,,,,,,"""{\\""huh_taxonomic_group\\"": \\""Vascular\\"", \\""huh_project_id\\"": 3, \\""huh_project_name\\"": \\""New England Vascular Plants TCN\\""}""",,,,,,,,,,,Sheet,,North America,,,,United States of America,US,Massachusetts,Hampden County,Springfield,Springfield,,0,,,,,,,,,,,,,,,,,,in collection,en,,11/2/15 8:00,c2962832-8161-11e5-b5e0-001ec9fd629b,32,9a653fd1-bc8c-4ee9-82db-11c5424dada1
789042,Harvard University,NEBC,,PreservedSpecimen,78bd064f-b26e-4c3a-b07d-b4464e4cd2c1,barcode-00689937,,Plantae|Charophyta|Streptophytina|Equisetopsida|Magnoliidae|Asparagales|Orchidaceae|Corallorhiza,Plantae,Charophyta,Equisetopsida,https://neherbaria.org/portal/collections/individual/index.php?occid=789042,Asparagales,Orchidaceae,Corallorhiza odontorhiza,,Native,8,1877,820320,(Willd.) Poir.,Corallorhiza,,odontorhiza,,,,,Species,,,,,,,,S. Stebbins,,,,,Pre,,,,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, locality",,"""{\\""huh_taxonomic_group\\"": \\""Vascular\\"", \\""huh_project_id\\"": 3, \\""huh_project_name\\"": \\""New England Vascular Plants TCN\\""}""",,,,,,,,,,,Sheet,,North America,,,,United States of America,US,Massachusetts,Hampden County,Springfield,,,1,,,,,,,,,,,,,,,,,,in collection,en,,8/7/15 9:36,78bd064f-b26e-4c3a-b07d-b4464e4cd2c1,32,4af83b18-2fab-4a16-9986-40c05383ad05
1276206,Harvard University,NEBC,,PreservedSpecimen,c053a7fc-1b3f-11e6-b5e0-001ec9fd629b,barcode-00817408,,Plantae|Charophyta|Streptophytina|Equisetopsida|Magnoliidae|Asparagales|Asparagaceae|Maianthemum,Plantae,Charophyta,Equisetopsida,https://neherbaria.org/portal/collections/individual/index.php?occid=1276206,Asparagales,Liliaceae,Maianthemum racemosum,,Native,5,1878,826766,(L.) Link,Maianthemum,,racemosum,,,,,Species,,,,,,,,J. H. Pillsbury,,,1878-05-06,,Pre,5,6,126,,5-6-1878,,,,,,,,,,,"""{\\""huh_taxonomic_group\\"": \\""Vascular\\"", \\""huh_project_id\\"": 3, \\""huh_project_name\\"": \\""New England Vascular Plants TCN\\""}""",,,,,,,,,,,Sheet,,North America,,,,United States of America,US,Massachusetts,Hampden County,Springfield,Springfield,,0,,,,,,,,,,,,,,,,,,in collection,en,,5/16/16 4:25,c053a7fc-1b3f-11e6-b5e0-001ec9fd629b,32,ada01e12-de06-4e51-aa19-bd63624b9d37
613459,Harvard University,NEBC,,PreservedSpecimen,54767a07-be35-44fa-8473-fcf73cc53ce8,barcode-00573256,,Plantae|Charophyta|Streptophytina|Equisetopsida|Magnoliidae|Liliales|Liliaceae|Medeola,Plantae,Charophyta,Equisetopsida,https://neherbaria.org/portal/collections/individual/index.php?occid=613459,Liliales,Trilliaceae,Medeola virginiana,,Native,5,1878,826958,L.,Medeola,,virginiana,,,,,Species,,,,,,,,J. H. Pillsbury,,,1878-06-14,,Pre,6,14,165,,6-14-1878,,,,,,,,,,,"""{\\""huh_taxonomic_group\\"": \\""Vascular\\"", \\""huh_project_id\\"": 3, \\""huh_project_name\\"": \\""New England Vascular Plants TCN\\""}""",,,,,,,,,,,Sheet,,North America,,,,United States of America,US,Massachusetts,Hampden County,Springfield,Springfield,,0,,,,,,,,,,,,,,,,,,in collection,en,,6/13/14 21:29,54767a07-be35-44fa-8473-fcf73cc53ce8,32,fcaa4a1b-cc02-4fd3-adc0-457e5df68e3b
1277764,Harvard University,NEBC,,PreservedSpecimen,d5510daa-1ab5-11e6-b5e0-001ec9fd629b,barcode-01149926,,Plantae|Charophyta|Streptophytina|Equisetopsida|Magnoliidae|Poales|Poaceae|Poa,Plantae,Charophyta,Equisetopsida,https://neherbaria.org/portal/collections/individual/index.php?occid=1277764,Poales,Poaceae,Poa alsodes,,Native,5,1878,829728,A. Gray,Poa,,alsodes,,,,,Species,,,,,,,,W. G. Farlow,,,1878-05-07,,Pre,5,7,127,,"May 7, 1878",,,,,,,,,,,"""{\\""huh_taxonomic_group\\"": \\""Vascular\\"", \\""huh_project_id\\"": 3, \\""huh_project_name\\"": \\""New England Vascular Plants TCN\\""}""",,,,,,,,,,,Sheet,,North America,,,,United States of America,US,Massachusetts,Hampden County,Springfield,Springfield,,0,,,,,,,,,,,,,,,,,,in collection,en,,5/15/16 11:58,d5510daa-1ab5-11e6-b5e0-001ec9fd629b,32,372b7cb0-ed37-4ed1-8b73-98c7f2307fe0
786000,Harvard University,NEBC,,PreservedSpecimen,28df7211-b63a-485a-8cf6-361ed0619c3e,barcode-00680627,,Plantae|Charophyta|Streptophytina|Equisetopsida|Magnoliidae|Asparagales|Amaryllidaceae|Allium,Plantae,Charophyta,Equisetopsida,https://neherbaria.org/portal/collections/individual/index.php?occid=786000,Asparagales,Alliaceae,Allium tricoccum,,Native,7,1878,816161,Aiton,Allium,,tricoccum,,,,,Species,,,,,,,,J. H. Pillsbury,,,1878-05-15,,Pre,5,15,135,,15-5-1878,,,,,,,,,,,"""{\\""huh_taxonomic_group\\"": \\""Vascular\\"", \\""huh_project_id\\"": 3, \\""huh_project_name\\"": \\""New England Vascular Plants TCN\\""}""",,,,,,,,,,,Sheet,,North America,,,,United States of America,US,Massachusetts,Hampden County,Springfield,Springfield,,0,,,,,,,,,,,,,,,,,,in collection,en,,1/15/15 9:41,28df7211-b63a-485a-8cf6-361ed0619c3e,32,e6ecb395-58f1-42ad-979d-6f91b6e890f0
786001,Harvard University,NEBC,,PreservedSpecimen,9c1ab438-ea6d-4c9e-a888-6ee1ac778620,barcode-00680628,,Plantae|Charophyta|Streptophytina|Equisetopsida|Magnoliidae|Asparagales|Amaryllidaceae|Allium,Plantae,Charophyta,Equisetopsida,https://neherbaria.org/portal/collections/individual/index.php?occid=786001,Asparagales,Alliaceae,Allium tricoccum,,Native,7,1878,816161,Aiton,Allium,,tricoccum,,,,,Species,,,,,,,,J. H. Pillsbury,,,1878-05-15,,Pre,5,15,135,,"May 15, 1878",,,,,,,,,,,"""{\\""huh_taxonomic_group\\"": \\""Vascular\\"", \\""huh_project_id\\"": 3, \\""huh_project_name\\"": \\""New England Vascular Plants TCN\\""}""",,,,,,,,,,,Sheet,,North America,,,,United States of America,US,Massachusetts,Hampden County,Springfield,Springfield,,0,,,,,,,,,,,,,,,,,,in collection,en,,1/15/15 9:41,9c1ab438-ea6d-4c9e-a888-6ee1ac778620,32,fd66f44e-ed2f-44d2-9480-1e5158c03942
612502,Harvard University,NEBC,,PreservedSpecimen,4ce39c90-7af9-46e6-b8e2-76c138f9bc1c,barcode-00575985,,Plantae|Charophyta|Streptophytina|Equisetopsida|Magnoliidae|Liliales|Melanthiaceae|Trillium,Plantae,Charophyta,Equisetopsida,https://neherbaria.org/portal/collections/individual/index.php?occid=612502,Liliales,Liliaceae,Trillium cernuum,,Native,7,1878,833914,L.,Trillium,,cernuum,,,,,Species,,,,,,,,J. H. Pillsbury,,,1878-05-15,,Pre,5,15,135,,5-15-1878,,,,,,,,,,,"""{\\""huh_taxonomic_group\\"": \\""Vascular\\"", \\""huh_project_id\\"": 3, \\""huh_project_name\\"": \\""New England Vascular Plants TCN\\""}""",,,,,,,,,,,Sheet,,North America,,,,United States of America,US,Massachusetts,Hampden County,Springfield,Springfield,,0,,,,,,,,,,,,,,,,,,in collection,en,,6/13/14 20:50,4ce39c90-7af9-46e6-b8e2-76c138f9bc1c,32,4e57e5ba-9884-4734-8510-bd73d6dc2002
